Node p0	[9960.200000004766, 9912.400000009504, 9852.395000014463, 9807.395000019342, 9760.195000024234, 9720.195000033309, 9665.795000038188, 9603.995000045144, 9567.800000049923, 9514.800000054638, 9466.600000059374, 9417.800000064106, 9374.600000068856, 9325.400000073587, 9271.200000051882, 9235.80000005666, 9184.600000061386, 9138.600000066128, 9074.400000070804, 9008.600000075474, 8940.200000080136, 8899.000000084898, 8556.80000008856, 7985.800000089665, 7496.2000000873395, 6877.200000084542, 6430.800000082372, 5953.0000000851705, 5581.400000089487, 4958.000000097468, 4723.40000009979, 4322.00000010454, 3926.1950001094633, 3464.1950001150954, 3013.795000120558, 2392.595000128507, 1847.3950001356848, 1292.9950001440252, 850.1950001507416, 421.19500015718506, 82.99500016204465]
Node p1	[9970.000000004802, 9865.60000000954, 9818.39500001443, 9773.395000021186, 9712.595000029236, 9649.595000034209, 9607.995000039009, 9567.195000043772, 9525.000000048527, 9464.000000053213, 9419.00000005796, 9358.40000006265, 9315.2000000674, 9257.8000000721, 9217.800000076866, 9164.000000081578, 9120.800000086332, 9072.800000091067, 9021.80000009579, 8975.400000100532, 8918.400000105235, 8864.800000109952, 8635.200000114024, 8222.600000117433, 7719.800000115314, 7317.200000113304, 6776.800000110792, 6284.00000011331, 5860.200000118386, 5365.600000124493, 4769.000000132083, 4280.800000138096, 3682.59500014571, 3293.5950001502797, 2931.795000154453, 2444.595000160452, 2077.395000164704, 1836.195000167905, 1365.1950001750317, 853.3950001827523, 419.3950001892403, 136.79500019328447]
Node p2	[9970.000000004802, 9906.60000000962, 9872.195000014444, 9796.195000019485, 9749.395000024373, 9693.79500002931, 9658.995000034138, 9607.395000038861, 9571.400000043639, 9519.200000048357, 9432.800000052954, 9379.200000057668, 9341.400000062438, 9295.40000006718, 9233.800000071868, 9170.600000076545, 9103.800000081214, 9066.400000085987, 8971.20000009055, 8936.000000095331, 8891.20000010008, 8843.600000104818, 8367.200000107992, 7978.800000108549, 7703.400000107002, 7361.200000105211, 6890.600000102953, 6569.400000105681, 5952.600000113565, 5619.800000117318, 5077.000000124125, 4717.600000128264, 4351.195000132759, 3746.3950001404683, 3305.195000145797, 2848.5950001513506, 2351.9950001574857, 1831.5950001645078, 1469.5950001700485, 1105.195000175624, 629.7950001828148, 405.9950001862615, 141.1950001900467, 27.99500019170198]
Node p3	[9970.000000004802, 9914.400000009582, 9873.595000014442, 9833.195000019296, 9776.395000024238, 9719.195000032832, 9672.795000037655, 9632.39500004242, 9579.000000047134, 9529.800000051862, 9483.400000056605, 9434.800000061337, 9364.60000006599, 9316.800000070725, 9243.200000075369, 9200.40000008012, 9134.200000048688, 9091.00000005344, 9031.200000058132, 8980.400000062857, 8935.200000067603, 8886.200000072336, 8542.600000075994, 8042.000000077853, 7509.4000000753695, 6924.400000072696, 6199.800000069514, 5905.000000071737, 5630.200000074645, 5105.600000081188, 4808.0000000844275, 4415.600000089046, 4015.9950000937697, 3717.9950000970152, 3252.7950001026934, 2692.3950001097573, 2314.7950001141608, 1762.3950001219546, 1289.1950001291134, 696.9950001380039, 488.9950001412826, 240.5950001448291, 41.99500014768957]
Node p4	[9965.000000004784, 9914.40000000958, 9862.1950000145, 9806.795000019438, 9750.395000024379, 9699.795000029288, 9665.195000034113, 9603.3950000388, 9555.200000043533, 9514.200000048291, 9473.000000053053, 9429.800000057805, 9389.000000062564, 9314.800000067204, 9270.000000071952, 9222.200000076686, 9166.800000081395, 9117.200000086124, 9035.800000090738, 8977.800000095436, 8941.200000100214, 8885.400000104923, 8435.600000108194, 7926.400000109108, 7281.800000106217, 6679.800000103482, 6180.000000101118, 5756.0000001056, 5158.6000001132015, 4763.600000117859, 4348.2000001228125, 3620.0000001323183, 3166.395000137828, 2708.995000143393, 2248.3950001490043, 1966.995000152507, 1580.7950001583995, 1035.395000166609, 572.3950001736191, 280.1950001778933]
Node p5	[9970.000000004802, 9914.40000000958, 9861.395000014503, 9775.795000019594, 9713.79500002456, 9656.195000029507, 9605.795000034414, 9554.79500003914, 9505.80000004387, 9445.600000048558, 9390.200000053268, 9354.200000058046, 9290.200000062721, 9207.000000067328, 9157.60000007206, 9059.20000007661, 9016.600000081366, 8971.800000086112, 8920.600000090835, 8862.400000095533, 8817.20000010028, 8774.400000105035, 8175.000000107497, 7683.200000105162, 7214.000000102909, 6724.4000001005825, 6163.200000097995, 5669.600000100176, 5131.600000106913, 4666.200000112595, 4223.4000001179475, 3687.4000001246563, 3229.195000130233, 2712.1950001366654, 2380.5950001403994, 1841.9950001476473, 1363.5950001548815, 814.3950001631462, 389.99500016954846, 121.79500017338351]
Node p6	[9970.000000004802, 9880.800000009524, 9827.19500001445, 9791.795000019278, 9732.79500002423, 9684.395000029133, 9634.195000033977, 9576.195000038677, 9520.800000043386, 9468.800000048104, 9431.60000005288, 9381.600000057608, 9325.600000062312, 9283.000000067066, 9243.400000071833, 9195.800000076568, 9134.200000081255, 9079.200000085964, 9021.800000090665, 8961.800000095356, 8925.400000100135, 8863.20000010482, 8454.40000010824, 8142.200000111638, 7565.4000001089935, 7190.000000107082, 6822.8000001052005, 6274.4000001085715, 5832.600000113909, 5271.200000120988, 4905.800000125214, 4481.000000130304, 3911.395000137502, 3371.195000144272, 2728.5950001525316, 2169.595000159575, 1849.195000163967, 1401.1950001707592, 808.5950001796554, 497.3950001843623, 164.59500018913698]
Node p7	[9970.000000004802, 9892.800000009513, 9844.59500001441, 9799.795000019285, 9758.195000024147, 9720.395000028991, 9665.395000033926, 9594.59500003858, 9552.600000043338, 9499.400000048052, 9423.200000052686, 9381.800000057445, 9325.400000062147, 9253.800000066796, 9204.400000071528, 9167.4000000763, 9106.20000008099, 9047.200000085684, 8997.400000090413, 8947.60000009514, 8885.400000099826, 8844.400000104588, 8442.200000108032, 7903.200000108493, 7419.400000106189, 6893.400000103729, 6257.600000100871, 5886.0000001051285, 5166.0000001145145, 4666.400000120694, 4021.2000001289916, 3484.000000135718, 3018.195000141405, 2709.395000144808, 2227.7950001507247, 1796.7950001565764, 1457.595000161785, 1156.795000166435, 817.995000171638, 254.99500017997707]
Node p8	[9960.200000004766, 9882.400000009668, 9814.395000014669, 9768.79500001955, 9681.395000024653, 9634.595000029545, 9553.595000039097, 9510.595000043852, 9474.40000004863, 9418.400000053334, 9374.400000058085, 9314.600000062777, 9278.800000067555, 9219.80000007225, 9172.200000076988, 9063.600000050228, 9019.60000005498, 8976.400000059732, 8933.200000064484, 8883.200000069211, 8839.000000073962, 8796.400000078718, 8426.800000082281, 7635.000000080064, 6990.200000077173, 6518.00000007491, 6041.40000007263, 5560.000000076565, 5019.40000008334, 4668.600000087355, 4196.00000009314, 3878.000000096677, 3524.3950001007315, 2850.3950001094486, 2192.1950001179353, 1870.7950001221272, 1540.795000127202, 957.3950001359644, 440.3950001437004]
Node p9	[9965.000000004784, 9903.800000009613, 9858.79500001449, 9812.995000019375, 9760.195000024296, 9717.595000029163, 9667.39500003401, 9608.395000038707, 9567.000000043467, 9519.2000000482, 9468.400000052927, 9418.400000057654, 9360.00000006235, 9317.800000067105, 9268.400000071837, 9220.60000007657, 9155.200000081244, 9107.40000008598, 9056.200000090703, 8997.8000000954, 8954.600000100154, 8896.800000104855, 8662.800000108911, 8269.40000011239, 7877.000000111613, 7464.800000109568, 6721.6000001063185, 6139.000000109594, 5567.600000116818, 5041.6000001233815, 4566.200000129208, 4084.2000001351307, 3638.595000140524, 3302.7950001248855, 2774.9950001314746, 2353.795000136513, 1801.9950001437592, 1476.195000148773, 784.1950001591157, 440.79500016434775]
