Node p0	[9960.200000004766, 9912.400000009504, 9852.395000014463, 9807.395000019342, 9760.195000024234, 9720.195000033309, 9665.795000038188, 9603.995000045144, 9567.800000049923, 9514.800000054638, 9466.600000059374, 9417.800000064106, 9374.600000068856, 9325.400000073587, 9271.200000051882, 9235.80000005666, 9184.600000061386, 9138.600000066128, 9074.400000070804, 9008.600000075474, 8940.200000080136, 8899.000000084898, 8556.80000008856, 7985.800000089665, 7496.2000000873395, 6877.200000084542, 6430.800000082372, 5953.0000000851705, 5581.400000089487, 4958.000000097468, 4748.000000099432, 4395.400000103472, 4007.595000108024, 3483.7950001145555, 3111.195000118886, 2462.1950001272394, 1940.5950001339202, 1374.1950001424352, 922.7950001492768, 503.5950001556475, 108.39500016133228]
Node p1	[9970.000000004802, 9865.60000000954, 9818.39500001443, 9773.395000021186, 9712.595000029236, 9649.595000034209, 9607.995000039009, 9567.195000043772, 9525.000000048527, 9464.000000053213, 9419.00000005796, 9358.40000006265, 9315.2000000674, 9257.8000000721, 9217.800000076866, 9164.000000081578, 9120.800000086332, 9072.800000091067, 9021.80000009579, 8975.400000100532, 8918.400000105235, 8864.800000109952, 8635.200000114024, 8222.600000117433, 7719.800000115314, 7317.200000113304, 6776.800000110792, 6284.00000011331, 5860.200000118386, 5300.200000125445, 4779.000000131938, 4378.200000136679, 3888.395000142715, 3471.3950001476924, 3113.1950001518135, 2738.995000156168, 2350.1950001607343, 2114.1950001630776, 1681.9950001693273, 1150.195000177339, 722.9950001838282, 382.195000188957, 169.99500019197677, 25.195000194051392]
Node p2	[9970.000000004802, 9906.60000000962, 9872.195000014444, 9796.195000019485, 9749.395000024373, 9693.79500002931, 9658.995000034138, 9607.395000038861, 9571.400000043639, 9519.200000048357, 9432.800000052954, 9379.200000057668, 9341.400000062438, 9295.40000006718, 9233.800000071868, 9170.600000076545, 9103.800000081214, 9066.400000085987, 8971.20000009055, 8936.000000095331, 8891.20000010008, 8843.600000104818, 8367.200000107992, 7978.800000108549, 7703.400000107002, 7361.200000105211, 6890.600000102953, 6569.400000105681, 5952.600000113565, 5619.800000117318, 5045.400000124585, 4672.800000128916, 4274.595000133619, 3711.795000140717, 3285.1950001458335, 2836.3950001512735, 2329.795000157554, 1731.595000165863, 1331.5950001719566, 929.7950001780764, 462.9950001850019, 183.5950001889995]
Node p3	[9970.000000004802, 9914.400000009582, 9873.595000014442, 9833.195000019296, 9776.395000024238, 9719.195000032832, 9672.795000037655, 9632.39500004242, 9579.000000047134, 9529.800000051862, 9483.400000056605, 9434.800000061337, 9364.60000006599, 9316.800000070725, 9243.200000075369, 9200.40000008012, 9134.200000048688, 9091.00000005344, 9031.200000058132, 8980.400000062857, 8935.200000067603, 8886.200000072336, 8542.600000075994, 8042.000000077853, 7509.4000000753695, 6924.400000072696, 6199.800000069514, 5905.000000071737, 5630.200000074645, 5106.000000081182, 4795.200000084614, 4390.60000008941, 4003.195000093956, 3725.3950000969076, 3245.195000102804, 2716.195000109411, 2334.3950001138755, 1830.7950001208987, 1354.9950001280954, 798.1950001364708, 599.1950001396393, 332.19500014348336, 111.79500014663326]
Node p4	[9965.000000004784, 9914.40000000958, 9862.1950000145, 9806.795000019438, 9750.395000024379, 9699.795000029288, 9665.195000034113, 9603.3950000388, 9555.200000043533, 9514.200000048291, 9473.000000053053, 9429.800000057805, 9389.000000062564, 9314.800000067204, 9270.000000071952, 9222.200000076686, 9166.800000081395, 9117.200000086124, 9035.800000090738, 8977.800000095436, 8941.200000100214, 8885.400000104923, 8435.600000108194, 7926.400000109108, 7281.800000106217, 6679.800000103482, 6180.000000101118, 5756.0000001056, 5158.6000001132015, 4764.400000117847, 4333.800000123022, 3615.000000132391, 3153.19500013802, 2621.1950001446708, 2081.7950001514287, 1744.995000156508, 1370.795000162226, 836.1950001702781, 317.59500017794176, 12.995000182339481]
Node p5	[9970.000000004802, 9914.40000000958, 9861.395000014503, 9775.795000019594, 9713.79500002456, 9656.195000029507, 9605.795000034414, 9554.79500003914, 9505.80000004387, 9445.600000048558, 9390.200000053268, 9354.200000058046, 9290.200000062721, 9207.000000067328, 9157.60000007206, 9059.20000007661, 9016.600000081366, 8971.800000086112, 8920.600000090835, 8862.400000095533, 8817.20000010028, 8774.400000105035, 8175.000000107497, 7683.200000105162, 7214.000000102909, 6724.4000001005825, 6163.200000097995, 5669.600000100176, 5131.600000106913, 4614.400000113349, 4133.000000119263, 3631.000000125477, 3180.395000130943, 2706.39500013675, 2403.795000140062, 1854.395000147421, 1339.795000155182, 787.3950001634931, 339.7950001701167, 15.595000174793864]
Node p6	[9970.000000004802, 9880.800000009524, 9827.19500001445, 9791.795000019278, 9732.79500002423, 9684.395000029133, 9634.195000033977, 9576.195000038677, 9520.800000043386, 9468.800000048104, 9431.60000005288, 9381.600000057608, 9325.600000062312, 9283.000000067066, 9243.400000071833, 9195.800000076568, 9134.200000081255, 9079.200000085964, 9021.800000090665, 8961.800000095356, 8925.400000100135, 8863.20000010482, 8454.40000010824, 8142.200000111638, 7565.4000001089935, 7190.000000107082, 6822.8000001052005, 6274.4000001085715, 5832.600000113909, 5275.600000120924, 4901.000000125284, 4525.200000129661, 4016.5950001359706, 3414.795000143637, 2807.7950001513786, 2428.1950001558116, 2098.5950001595165, 1628.3950001665141, 1169.7950001734605, 907.995000177543, 583.7950001825335, 229.99500018765536, 50.1950001902607]
Node p7	[9970.000000004802, 9892.800000009513, 9844.59500001441, 9799.795000019285, 9758.195000024147, 9720.395000028991, 9665.395000033926, 9594.59500003858, 9552.600000043338, 9499.400000048052, 9423.200000052686, 9381.800000057445, 9325.400000062147, 9253.800000066796, 9204.400000071528, 9167.4000000763, 9106.20000008099, 9047.200000085684, 8997.400000090413, 8947.60000009514, 8885.400000099826, 8844.400000104588, 8442.200000108032, 7903.200000108493, 7419.400000106189, 6893.400000103729, 6257.600000100871, 5886.0000001051285, 5166.0000001145145, 4666.800000120688, 4006.20000012921, 3430.600000136495, 2922.7950001427935, 2579.995000146691, 2098.1950001526106, 1629.7950001593492, 1279.595000164718, 980.5950001693418, 652.7950001743845, 163.99500018153526]
Node p8	[9960.200000004766, 9882.400000009668, 9814.395000014669, 9768.79500001955, 9681.395000024653, 9634.595000029545, 9553.595000039097, 9510.595000043852, 9474.40000004863, 9418.400000053334, 9374.400000058085, 9314.600000062777, 9278.800000067555, 9219.80000007225, 9172.200000076988, 9063.600000050228, 9019.60000005498, 8976.400000059732, 8933.200000064484, 8883.200000069211, 8839.000000073962, 8796.400000078718, 8426.800000082281, 7635.000000080064, 6990.200000077173, 6518.00000007491, 6041.40000007263, 5560.000000076565, 5019.40000008334, 4668.800000087352, 4211.8000000929105, 3876.000000096706, 3496.595000101136, 2747.9950001109387, 2204.995000117749, 1886.1950001218916, 1546.595000127106, 946.7950001361071, 348.1950001450162]
Node p9	[9965.000000004784, 9903.800000009613, 9858.79500001449, 9812.995000019375, 9760.195000024296, 9717.595000029163, 9667.39500003401, 9608.395000038707, 9567.000000043467, 9519.2000000482, 9468.400000052927, 9418.400000057654, 9360.00000006235, 9317.800000067105, 9268.400000071837, 9220.60000007657, 9155.200000081244, 9107.40000008598, 9056.200000090703, 8997.8000000954, 8954.600000100154, 8896.800000104855, 8662.800000108911, 8269.40000011239, 7877.000000111613, 7464.800000109568, 6721.6000001063185, 6139.000000109594, 5567.600000116818, 5041.6000001233815, 4564.00000012924, 4093.800000134991, 3644.3950001404396, 3311.5950001441915, 2732.1950001515315, 2328.5950001563137, 1817.995000162985, 1612.5950001662468, 971.3950001758503, 592.7950001816325, 140.19500018819863]
